subject,grade,prompt,first_word,question_length
physics,5,How do rain clouds form?,How,24
history,5,What was life like for children in the Roman Empire?,What,52
physics,6,How do plants convert sunlight into energy?,How,43
history,6,What were the main goals of the explorers during the Age of Discovery?,What,70
physics,7,What are the colors of the rainbow and why do they appear in that order?,What,72
history,7,What was the impact of the Mongol Empire on the world?,What,54
physics,8,How do volcanoes erupt?,How,23
history,8,How did the Roman Empire fall and what were the consequences?,How,61
physics,9,What is the role of aerodynamics in airplane design?,What,52
physics,10,How do we measure the speed of light?,How,37
history,10,What was the impact of the Renaissance on European society?,What,59
physics,11,How do black holes form?,How,24
history,11,What were the major changes during the Industrial Revolution?,What,61
physics,12,How does nuclear fusion power the Sun?,How,38
history,12,What was the impact of the Spanish Civil War on Europe?,What,55
physics,5,Why do we have day and night?,Why,29
history,5,How did the ancient Egyptians use the Nile River?,How,49
physics,6,What causes earthquakes?,What,24
physics,7,What are the different types of forces in physics?,What,50
history,7,How did the Ottoman Empire impact world history?,How,48
physics,9,How does a thermostat control temperature?,How,42
history,9,How did the Industrial Revolution change the world?,How,51
physics,10,What are the laws of thermodynamics?,What,36
history,10,What was the impact of World War I on the world?,What,48
physics,11,What is the concept of antimatter in physics?,What,45
history,11,How did the French Revolution influence other nations?,How,54
physics,12,How do quantum computers work?,How,30
history,12,What was the significance of the Berlin Airlift?,What,48
physics,5,Why do we have high and low tides?,Why,34
physics,6,What causes a solar eclipse?,What,28
history,6,What were the achievements of the Islamic Golden Age?,What,53
physics,7,What is the principle of conservation of energy?,What,48
history,7,How did the Renaissance affect science and art?,How,47
physics,8,How does an electric generator work?,How,36
physics,9,What is the role of gravity in the solar system?,What,48
physics,10,What is the principle of electromagnetic induction?,What,51
physics,11,How do satellites orbit Earth?,How,30
history,11,What was the impact of the Great Depression globally?,What,53
physics,12,What is the concept of spacetime in physics?,What,44
history,12,How did the end of colonialism change the world?,How,48
history,5,What was the role of the Emperor in Ancient Rome?,What,49
physics,6,What are the different types of simple machines?,What,48
history,6,How did the Vikings influence Europe?,How,37
physics,7,Why do objects have weight?,Why,27
history,8,What was the impact of the Silk Road on world history?,What,54
physics,9,How do cameras capture and store images?,How,40
history,9,What were the key features of feudalism in medieval Europe?,What,59
physics,10,What are gamma rays and how are they detected?,What,46
history,10,How did World War II start?,How,27
physics,11,What is the role of neutrinos in the universe?,What,46
history,11,What were the causes and consequences of the American Civil War?,What,64
physics,12,How does the principle of superposition apply in quantum mechanics?,How,67
physics,5,Why do shadows change length throughout the day?,Why,48
history,5,How were pyramids built in ancient Egypt?,How,41
history,6,What were the causes of the Renaissance?,What,40
history,8,What was the impact of the printing press?,What,42
physics,9,How do solar cells convert sunlight into electricity?,How,53
physics,10,What is the photoelectric effect?,What,33
history,10,What were the consequences of the Age of Exploration?,What,53
physics,11,How do GPS systems work?,How,24
history,11,What was the impact of imperialism on Africa?,What,45
physics,12,What is the theory of everything in physics?,What,44
history,5,What was the daily life of a gladiator in ancient Rome?,What,55
physics,6,What is static electricity and how is it created?,What,49
history,6,What was the importance of the Code of Hammurabi?,What,49
physics,7,How does sound travel through air?,How,34
history,7,What was the impact of the Crusades?,What,36
physics,8,What are the different types of energy sources?,What,47
history,8,How did the Renaissance change the world?,How,41
physics,9,What are the properties of sound waves?,What,39
physics,10,What is the Doppler effect in physics?,What,38
history,10,How did the Industrial Revolution change society?,How,49
physics,11,What are the differences between classical and quantum physics?,What,63
physics,12,How does the concept of entropy relate to the universe's future?,How,64
history,12,What were the causes and effects of World War II?,What,49
physics,5,How does sound travel through different materials?,How,50
history,5,What was the significance of the Colosseum in ancient Rome?,What,59
history,6,What were the major achievements of the Mayan civilization?,What,59
history,7,What was the importance of the Nile River in ancient Egyptian civilization?,What,75
physics,8,What causes the Northern Lights?,What,32
history,8,How did the Industrial Revolution start?,How,40
physics,9,How does a digital clock keep time?,How,35
history,9,What were the effects of the bubonic plague on Europe?,What,54
physics,10,What is the role of photons in light?,What,37
history,10,What was the impact of Napoleon Bonaparte on Europe?,What,52
physics,11,What are the different types of telescopes?,What,43
history,11,How did World War I change the map of Europe?,How,45
physics,12,How does sonar work?,How,20
history,12,What was the significance of the Treaty of Versailles?,What,54
physics,5,Why do balloons deflate over time?,Why,34
history,5,What was the role of a knight in medieval Europe?,What,49
physics,6,What causes the colors in a sunset?,What,35
history,6,How did the Roman Republic differ from the Empire?,How,50
physics,7,What is a vacuum in space?,What,26
history,7,How did Marco Polo's travels impact the world?,How,46
physics,9,How do elevators work safely?,How,29
physics,10,How do solar panels convert sunlight into electricity?,How,54
history,10,What were the main causes and effects of the Spanish Civil War?,What,63
physics,11,What is the principle of conservation of angular momentum?,What,58
history,11,How did the Renaissance influence modern thought?,How,49
physics,12,What are the challenges in achieving nuclear fusion?,What,52
history,12,How did the invention of the airplane change warfare?,How,53
physics,5,Why do leaves change color in the fall?,Why,39
physics,6,How does a seesaw work?,How,23
history,6,What was the impact of the printing press on society?,What,53
physics,7,What causes wind?,What,17
history,7,What was the impact of the discovery of the New World on Europe?,What,64
physics,8,What is the function of a transformer in electrical circuits?,What,61
history,8,How did the Renaissance change European society?,How,48
physics,9,What is the principle of a jet engine?,What,38
physics,10,How does a thermostat work?,How,27
history,10,What was the impact of the Enlightenment on society?,What,52
physics,11,How do fiber optic cables work?,How,31
history,11,What were the causes of the Great Depression?,What,45
physics,12,What is the significance of the wave-particle duality?,What,54
history,12,How did the fall of the Berlin Wall affect Europe?,How,50
physics,5,Why is the sky blue during the day and black at night?,Why,54
history,5,What were the roles of the Senate and the Emperor in Ancient Rome?,What,66
history,6,How did the Crusades impact Europe?,How,35
physics,7,What is the difference between speed and velocity?,What,50
history,7,How did the Reformation change Europe?,How,38
physics,8,How do we measure the distance to stars?,How,40
history,8,What was the impact of the invention of the steam engine?,What,57
physics,9,What are the different forms of energy?,What,39
history,9,How did the discovery of the Americas change European society?,How,62
physics,10,How do we use the periodic table in chemistry?,How,46
history,10,What was the impact of the American Revolution on the world?,What,60
physics,11,How does the Doppler effect work?,How,33
physics,12,What are exoplanets and how do we find them?,What,44
history,12,How did the Vietnam War impact American society?,How,48
physics,6,Why do we see mirages?,Why,22
history,6,What were the contributions of the Byzantine Empire?,What,52
physics,7,What is the function of a battery?,What,34
history,7,How did the Silk Road influence trade?,How,38
physics,8,What are the different types of clouds and how do they form?,What,60
physics,9,How do radios work?,How,19
history,9,What was the impact of the Industrial Revolution on labor?,What,58
physics,11,What is the significance of the speed of light?,What,47
history,11,How did the discovery of electricity change society?,How,52
physics,12,How does the Large Hadron Collider work?,How,40
history,12,What was the impact of the internet on global communication?,What,60
physics,5,Why do we feel warmer in sunlight?,Why,34
history,5,What was the significance of Spartan culture in Ancient Greece?,What,63
physics,6,How does a pendulum work?,How,25
history,6,What was the significance of the Code of Hammurabi?,What,51
physics,7,What causes the phases of the moon?,What,35
history,7,How did the Renaissance impact the world?,How,41
history,9,What were the effects of colonialism on the Americas?,What,53
physics,11,How do space telescopes work?,How,29
physics,12,How does quantum field theory work?,How,35
history,12,How did the Reformation change the religious landscape of Europe?,How,65
physics,5,How do boats float on water?,How,28
history,5,What was the purpose of the pyramids in ancient Egypt?,What,54
physics,6,How does a prism create a rainbow?,How,34
history,6,How did the Roman Empire impact the modern world?,How,49
physics,7,Why do we hear sound later than we see light?,Why,45
history,7,What was the impact of the discovery of printing technology?,What,60
physics,8,How does gravity keep the planets in orbit?,How,43
history,8,Why was the Magna Carta significant in history?,Why,47
physics,9,How does Newton's Third Law apply to rocket launches?,How,53
history,9,What were the main causes of World War I?,What,41
physics,10,Why is the theory of relativity important in physics?,Why,53
history,10,How did the Renaissance contribute to the Scientific Revolution?,How,64
physics,11,Can you explain quantum mechanics?,Can,34
history,11,How did the Cold War affect global politics?,How,44
physics,12,Why are black holes important in studying the universe?,Why,55
history,12,How did the Industrial Revolution change social structures?,How,59
physics,5,What makes magnets attract or repel?,What,36
history,5,Who were the Vikings and what are they known for?,Who,49
physics,6,Why does white light split into colors in a prism?,Why,50
physics,7,Why do we see lightning before thunder?,Why,39
history,7,What role did the Great Wall of China play?,What,43
history,8,How did the Renaissance change European art and culture?,How,56
physics,9,What is the conservation of energy principle?,What,45
history,9,What impact did Columbus' voyages have on the world?,What,52
physics,10,How does the greenhouse effect contribute to global warming?,How,60
history,10,What were the causes and effects of the French Revolution?,What,58
physics,11,What is Schrödinger's cat in quantum theory?,What,44
history,11,How did Gandhi's non-violence affect India's independence?,How,58
physics,12,Can you explain string theory?,Can,30
history,12,How did the discovery of the New World impact social and economic systems?,How,74
physics,5,Why does ice float on water?,Why,28
history,5,What was life like in the Middle Ages?,What,38
physics,6,How does friction affect moving objects?,How,40
history,6,How were the Egyptian pyramids built?,How,37
physics,7,What creates sound and how does it travel?,What,42
history,7,What was the American Revolution's significance?,What,48
physics,8,Why do objects look smaller when far away?,Why,42
history,8,How did 15th-16th century exploration change the world?,How,55
history,9,What role did women play in World War II?,What,41
physics,10,What are thermodynamics' basic principles?,What,42
history,10,How did the steam engine affect society?,How,40
physics,11,What is the Large Hadron Collider's purpose?,What,44
history,11,What were the Treaty of Versailles' major outcomes?,What,51
physics,12,Why are gravitational waves important?,Why,38
history,12,How did the Berlin Wall's fall affect global politics?,How,54
physics,5,What causes rainbows?,What,21
history,5,How did Native American tribes differ across North America?,How,59
physics,6,What's the difference between kinetic and potential energy?,What's,59
history,6,Why is the Magna Carta a key historical document?,Why,49
physics,7,How do plants make food from sunlight?,How,38
history,7,What impact did Marco Polo's travels have?,What,42
physics,8,What is photosynthesis' role in the environment?,What,48
history,8,How did the French Revolution change Europe?,How,44
physics,9,How does the Periodic Table organize elements?,How,46
history,9,What caused the American Civil War?,What,35
physics,10,What is the principle of superposition in physics?,What,50
history,10,How did the Enlightenment influence democracy?,How,46
physics,11,How does special relativity affect time and space?,How,50
history,11,What impact did the Industrial Revolution have on urbanization?,What,63
physics,12,How does GPS technology rely on physics?,How,40
history,12,What was the Cuban Missile Crisis' significance?,What,48
history,5,What was a samurai's life like in feudal Japan?,What,47
physics,6,Why do objects cast shadows?,Why,28
history,6,What role did the Silk Road play in cultural exchange?,What,54
physics,7,How do microwaves cook food?,How,28
history,7,Why was the Rosetta Stone's discovery significant?,Why,50
physics,8,Why do we have leap years?,Why,26
history,8,How did the compass change exploration?,How,39
physics,9,What is the Doppler Effect for sound and light?,What,47
history,9,How did the Renaissance influence the Reformation?,How,50
physics,10,How do nuclear reactors generate electricity?,How,45
history,10,What were the American Revolution's key events?,What,47
physics,11,What does Heisenberg's Uncertainty Principle imply?,What,51
history,11,How did World War II reshape the global map?,How,44
physics,12,What is dark matter and dark energy?,What,36
history,12,How did World War I and II use propaganda?,How,42
physics,5,Why are seatbelts necessary in cars?,Why,36
history,5,What are some famous Greek myths?,What,33
physics,6,How does a magnifying glass enlarge images?,How,43
history,6,How did the Aztecs build their empire?,How,38
physics,7,Why is Mars called the Red Planet?,Why,34
history,7,What impact did the Crusades have on Europe and the Middle East?,What,64
physics,8,What causes tsunamis?,What,21
history,8,Why is the Declaration of Independence important?,Why,49
physics,9,How do fiber optics transmit information?,How,41
history,9,What was the American gold rush's impact?,What,41
physics,10,How does a transformer work in electrical circuits?,How,51
history,10,How did nationalism affect Italy and Germany's unification?,How,59
physics,11,Can you explain entropy in thermodynamics?,Can,42
history,11,What impact did the India-Pakistan partition have?,What,50
physics,12,What is the Higgs Boson's significance in particle physics?,What,59
history,12,How did the Vietnam War affect international relations and domestic politics in the U.S.?,How,89
physics,5,How does a lever work?,How,22
history,5,What were some of the major achievements of Ancient China?,What,58
physics,6,What causes sound waves?,What,24
history,6,How did the Greek philosophy influence the modern world?,How,56
physics,7,What is the principle behind a pulley system?,What,45
history,7,What was the significance of ancient Roman law?,What,47
physics,8,How does a thermos keep liquids hot or cold?,How,44
history,8,What role did trade routes play in ancient civilizations?,What,57
history,9,How did the Age of Enlightenment change society?,How,48
physics,10,How do polarized sunglasses work?,How,33
history,10,What were the effects of imperialism on the colonized countries?,What,64
physics,11,How do satellites communicate with Earth?,How,41
history,11,What was the impact of the Renaissance on European politics?,What,60
physics,12,What is the significance of the cosmic microwave background radiation?,What,70
history,12,How did the space race affect the Cold War?,How,43
physics,5,Why do we have different time zones?,Why,36
history,5,What was the role of gladiators in ancient Rome?,What,48
physics,6,How does a compass find North?,How,30
